,3.5,4.5,5.5,6.5
318,248,253,253,253
319,248,253,253,253
320,255,253,253,253
321,255,253,253,253
322,255,253,253,253
323,255,253,253,253
324,255,253,253,253
325,255,253,253,253
326,255,253,253,253
327,255,253,253,253
328,255,253,253,253
329,255,253,253,253
330,255,253,253,253
331,255,253,253,253
332,255,253,253,253
333,255,253,253,253
334,255,253,253,253
335,255,253,253,253
336,255,253,253,253
337,255,253,253,253
338,255,253,253,253
339,255,253,253,253
340,255,253,253,253
341,255,253,253,253
342,255,253,253,253
343,255,253,253,253
344,255,253,253,253
345,255,253,253,253
346,255,253,253,253
347,255,253,253,253
348,254,253,253,253
349,254,253,253,253
350,253,253,253,253
351,253,253,253,253
352,254,253,253,253
353,254,253,253,253
354,254,253,253,253
355,254,253,253,253
356,254,253,253,253
357,254,253,253,253
358,254,253,253,253
359,254,253,253,253
360,251,253,253,253
361,251,253,253,253
362,251,253,253,253
363,251,253,253,253
364,251,253,253,253
365,251,253,253,253
366,251,253,253,253
367,250,253,253,253
368,246,253,253,253
369,246,253,253,253
370,246,253,253,253
371,246,253,253,253
372,246,253,253,253
373,246,253,253,253
374,246,253,253,253
375,246,253,253,253
376,243,253,253,253
377,243,253,253,253
378,244,253,253,253
379,244,253,253,253
380,244,253,253,253
381,244,253,253,253
382,245,253,253,253
383,245,253,253,253
384,245,253,253,253
385,245,253,253,253
386,245,253,253,253
387,245,253,253,253
388,245,253,253,253
389,245,253,253,253
390,245,253,253,253
391,245,253,253,253
392,242,253,253,253
393,242,253,253,253
394,242,253,253,253
395,242,253,253,253
396,242,253,253,253
397,242,253,253,253
398,242,253,253,253
399,242,253,253,253
400,241,253,253,253
401,241,253,253,253
402,241,253,253,253
403,241,253,253,253
404,241,253,253,253
405,241,253,253,253
406,241,253,253,253
407,241,253,253,253
408,241,253,253,253
409,240,253,253,253
410,239,253,253,253
411,239,253,253,253
412,239,253,253,253
413,239,253,253,253
414,240,253,253,253
415,241,253,253,253
416,239,254,253,253
417,239,253,253,253
418,239,253,253,253
419,239,252,253,253
420,240,252,253,253
421,240,253,253,253
422,240,254,253,253
423,240,254,253,253
424,240,254,253,253
425,240,254,253,253
426,240,254,253,253
427,240,254,253,253
428,240,253,253,253
429,240,253,253,253
430,240,253,253,253
431,240,253,253,253
432,239,254,253,253
433,239,253,253,253
434,239,252,253,253
435,239,251,253,253
436,239,251,253,253
437,239,251,253,253
438,239,251,253,253
439,239,252,253,253
440,240,250,253,253
441,240,249,253,253
442,240,248,253,253
443,240,247,253,253
444,240,247,253,253
445,240,248,253,253
446,240,249,253,253
447,239,250,253,253
448,241,249,253,253
449,239,249,253,253
450,241,249,253,253
451,239,249,253,253
452,241,248,253,253
453,239,248,253,253
454,241,248,253,253
455,239,248,253,253
456,241,249,253,253
457,239,249,253,253
458,241,249,253,253
459,239,249,253,253
460,241,249,253,253
461,239,249,253,253
462,241,249,253,253
463,241,249,253,253
464,243,252,253,253
465,244,252,253,253
466,244,252,253,253
467,244,252,253,253
468,244,252,253,253
469,244,252,253,253
470,244,252,253,253
471,244,252,253,253
472,246,254,253,253
473,246,254,253,253
474,246,254,253,253
475,246,254,253,253
476,246,253,253,253
477,246,253,253,253
478,246,252,253,253
479,246,252,253,253
480,251,253,253,253
481,252,253,253,253
482,252,253,253,253
483,252,253,253,253
484,252,253,253,253
485,252,253,253,253
486,252,253,253,253
487,252,253,253,253
488,255,252,253,253
489,255,252,253,253
490,255,252,253,253
491,255,252,253,253
492,255,252,253,253
493,255,252,253,253
494,255,252,253,253
495,255,252,253,253
496,255,254,253,253
497,255,254,253,253
498,255,254,253,253
499,255,254,253,253
500,255,254,253,253
501,255,254,253,253
502,255,254,253,253
503,255,254,253,253
504,255,253,253,253
505,255,253,253,253
506,255,253,253,253
507,255,253,253,253
508,255,253,253,253
509,255,253,253,253
510,255,253,253,253
511,255,253,253,253
512,255,254,253,253
513,255,254,253,253
514,255,254,253,253
515,254,254,253,253
516,253,254,253,253
517,252,254,253,253
518,251,254,253,253
519,251,254,253,253
520,248,253,253,253
521,248,253,253,253
522,248,253,253,253
523,248,253,253,253
524,248,253,253,253
525,248,253,253,253
526,248,253,253,253
527,248,253,253,253
528,243,253,253,253
529,243,253,253,253
530,243,253,253,253
531,243,253,253,253
532,243,253,253,253
533,243,253,253,253
534,243,253,253,253
535,242,253,253,253
536,240,253,253,253
537,238,253,253,253
538,238,253,253,253
539,238,253,253,253
540,238,253,253,253
541,238,253,253,253
542,238,253,253,253
543,238,253,253,253
544,238,253,253,253
545,238,253,253,253
546,238,253,253,253
547,239,253,253,253
548,240,253,253,253
549,240,253,253,253
550,241,253,253,253
551,241,253,253,253
552,241,253,253,253
553,241,253,253,253
554,241,253,253,253
555,241,253,253,253
556,241,253,253,253
557,241,253,253,253
558,241,253,253,253
559,241,253,253,253
560,238,253,253,253
561,238,253,253,253
562,238,253,253,253
563,238,253,253,253
564,238,253,253,253
565,238,253,253,253
566,238,253,253,253
567,238,253,253,253
568,239,253,253,253
569,239,253,253,253
570,239,253,253,253
571,239,253,253,253
572,239,253,253,253
573,239,253,253,253
574,239,253,253,253
575,239,253,253,253
576,241,253,253,253
577,240,253,253,253
578,239,253,253,253
579,239,253,253,253
580,239,253,253,253
581,239,253,253,253
582,240,253,253,253
583,241,253,253,253
584,242,253,253,253
585,242,253,253,253
586,242,253,253,253
587,243,253,253,253
588,243,253,253,253
589,244,253,253,253
590,245,253,253,253
591,245,253,253,253
592,245,253,253,253
593,245,253,253,253
594,245,253,253,253
595,245,253,253,253
596,245,253,253,253
597,245,253,253,253
598,245,253,253,253
599,245,253,253,253
600,246,253,253,253
601,246,253,253,253
602,246,253,253,253
603,246,253,253,253
604,246,253,253,253
605,246,253,253,253
606,246,253,253,253
607,246,253,253,253
608,249,253,253,253
609,249,253,253,253
610,249,253,253,253
611,249,253,253,253
612,249,252,253,253
613,249,252,253,253
614,249,252,253,253
615,249,252,253,253
616,251,253,253,253
617,250,253,253,253
618,251,253,253,253
619,250,254,253,253
620,251,253,253,253
621,250,253,253,253
622,251,252,253,253
623,250,252,253,253
624,251,252,253,253
625,250,252,253,253
626,251,252,253,253
627,250,252,253,253
628,251,254,253,253
629,250,254,253,253
630,251,254,253,253
631,251,253,253,253
632,252,252,253,253
633,252,252,253,253
634,252,253,253,253
635,252,253,253,253
636,252,254,253,253
637,252,254,253,253
638,252,253,253,253
639,252,253,253,253
640,252,253,253,253
641,252,253,253,253
642,252,254,253,253
643,252,254,253,253
644,252,253,253,253
645,252,252,253,253
646,252,252,253,253
647,252,251,253,253
648,255,251,253,253
649,255,250,253,253
650,255,250,253,253
651,255,249,253,253
652,255,247,253,253
653,255,247,253,253
654,255,247,253,253
655,255,247,253,253
656,255,247,253,253
657,255,247,253,253
658,255,247,253,253
659,255,247,253,253
660,255,249,253,253
661,255,249,253,253
662,255,249,253,253
663,255,249,253,253
664,255,249,253,253
665,255,249,253,253
666,255,249,253,253
667,255,249,253,253
668,255,248,253,253
669,255,249,253,253
670,255,249,253,253
671,255,250,253,253
672,255,251,253,253
673,255,251,253,253
674,255,252,253,253
675,255,252,253,253
676,255,252,253,253
677,255,252,253,253
678,255,252,253,253
679,255,252,253,253
680,255,252,253,253
681,254,252,253,253
682,254,252,253,253
683,253,252,253,253
684,252,253,253,253
685,251,253,253,253
686,250,253,253,253
687,250,253,253,253
688,247,253,253,253
689,247,253,253,253
690,247,253,253,253
691,247,253,253,253
692,247,254,253,253
693,247,254,253,253
694,247,254,253,253
695,247,254,253,253
696,243,254,253,253
697,243,254,253,253
698,243,254,253,253
699,243,254,253,253
700,243,252,253,253
701,243,252,253,253
702,243,252,253,253
703,242,252,253,253
704,242,252,253,253
705,240,252,253,253
706,240,252,253,253
707,240,252,253,253
708,240,254,253,253
709,240,254,253,253
710,240,254,253,253
711,240,254,253,253
712,239,254,253,253
713,240,254,253,253
714,240,254,253,253
715,241,254,253,253
716,241,253,253,253
717,242,253,253,253
718,242,253,253,253
719,243,253,253,253
720,243,253,253,253
721,243,253,253,253
722,243,253,253,253
723,243,253,253,253
724,243,253,253,253
725,243,253,253,253
726,243,253,253,253
727,243,253,253,253
728,245,253,253,253
729,245,253,253,253
730,245,253,253,253
731,245,253,253,253
732,245,253,253,253
733,245,253,253,253
734,245,253,253,253
735,245,253,253,253
736,248,253,253,253
737,248,253,253,253
738,248,253,253,253
739,248,253,253,253
740,248,253,253,253
741,248,253,253,253
742,248,253,253,253
743,248,253,253,253
744,246,253,253,253
745,245,253,253,253
746,245,253,253,253
747,244,253,253,253
748,244,253,253,253
749,245,253,253,253
750,245,253,253,253
751,246,253,253,253
752,247,253,253,253
753,247,253,253,253
754,248,253,253,253
755,248,253,253,253
756,249,253,253,253
757,249,253,253,253
758,250,253,253,253
759,250,253,253,253
760,251,253,253,253
761,251,253,253,253
762,251,253,253,253
763,251,253,253,253
764,251,253,253,253
765,251,253,253,253
766,251,253,253,253
767,251,253,253,253
768,252,253,253,253
769,252,253,253,253
770,252,253,253,253
771,252,253,253,253
772,252,253,253,253
773,252,253,253,253
774,252,253,253,253
775,252,253,253,253
776,251,253,253,253
777,251,253,253,253
778,251,253,253,253
779,251,253,253,253
780,251,253,253,253
